# ref key origkey label 
* 0 * *    
51 70 68 Versicolor  6.2 2.2 4.5 1.5  
51 71 69 Versicolor  5.6 2.5 3.9 1.1  
51 72 70 Versicolor  5.9 3.2 4.8 1.8  
51 73 71 Versicolor  6.1 2.8 4 1.3  
51 74 72 Versicolor  6.3 2.5 4.9 1.5  
51 75 73 Versicolor  6.1 2.8 4.7 1.2  
51 76 74 Versicolor  6.4 2.9 4.3 1.3  
51 77 75 Versicolor  6.6 3 4.4 1.4  
51 78 76 Versicolor  6.8 2.8 4.8 1.4  
51 79 77 Versicolor  6.7 3 5 1.7  
51 80 78 Versicolor  6 2.9 4.5 1.5  
51 81 79 Versicolor  5.7 2.6 3.5 1  
51 82 80 Versicolor  5.5 2.4 3.8 1.1  
51 83 81 Versicolor  5.5 2.4 3.7 1  
51 84 82 Versicolor  5.8 2.7 3.9 1.2  
51 85 83 Versicolor  6 2.7 5.1 1.6  
51 86 84 Versicolor  5.4 3 4.5 1.5  
51 87 85 Versicolor  6 3.4 4.5 1.6  
51 88 86 Versicolor  6.7 3.1 4.7 1.5  
51 89 87 Versicolor  6.3 2.3 4.4 1.3  
51 90 88 Versicolor  5.6 3 4.1 1.3  
51 91 89 Versicolor  5.5 2.5 4 1.3  
51 92 90 Versicolor  5.5 2.6 4.4 1.2  
51 93 91 Versicolor  6.1 3 4.6 1.4  
51 94 92 Versicolor  5.8 2.6 4 1.2  
51 95 93 Versicolor  5 2.3 3.3 1  
51 96 94 Versicolor  5.6 2.7 4.2 1.3  
51 97 95 Versicolor  5.7 3 4.2 1.2  
51 98 96 Versicolor  5.7 2.9 4.2 1.3  
51 99 97 Versicolor  6.2 2.9 4.3 1.3  
51 100 98 Versicolor  5.1 2.5 3 1.1  
51 101 99 Versicolor  5.7 2.8 4.1 1.3  
* 102 * *    
102 103 100 Virginica  6.3 3.3 6 2.5  
102 104 101 Virginica  5.8 2.7 5.1 1.9  
102 105 102 Virginica  7.1 3 5.9 2.1  
102 106 103 Virginica  6.3 2.9 5.6 1.8  
102 107 104 Virginica  6.5 3 5.8 2.2  
102 108 105 Virginica  7.6 3 6.6 2.1  
102 109 106 Virginica  4.9 2.5 4.5 1.7  
102 110 107 Virginica  7.3 2.9 6.3 1.8  
102 111 108 Virginica  6.7 2.5 5.8 1.8  
102 112 109 Virginica  7.2 3.6 6.1 2.5  
102 113 110 Virginica  6.5 3.2 5.1 2  
102 114 111 Virginica  6.4 2.7 5.3 1.9  
102 115 112 Virginica  6.8 3 5.5 2.1  
102 116 113 Virginica  5.7 2.5 5 2  
102 117 114 Virginica  5.8 2.8 5.1 2.4  
102 118 115 Virginica  6.4 3.2 5.3 2.3  
102 119 116 Virginica  6.5 3 5.5 1.8  
102 120 117 Virginica  7.7 3.8 6.7 2.2  
102 121 118 Virginica  7.7 2.6 6.9 2.3  
102 122 119 Virginica  6 2.2 5 1.5  
102 123 120 Virginica  6.9 3.2 5.7 2.3  
102 124 121 Virginica  5.6 2.8 4.9 2  
102 125 122 Virginica  7.7 2.8 6.7 2  
102 126 123 Virginica  6.3 2.7 4.9 1.8  
102 127 124 Virginica  6.7 3.3 5.7 2.1  
102 128 125 Virginica  7.2 3.2 6 1.8  
102 129 126 Virginica  6.2 2.8 4.8 1.8  
102 130 127 Virginica  6.1 3 4.9 1.8  
102 131 128 Virginica  6.4 2.8 5.6 2.1  
102 132 129 Virginica  7.2 3 5.8 1.6  
102 133 130 Virginica  7.4 2.8 6.1 1.9  
102 134 131 Virginica  7.9 3.8 6.4 2  
102 135 132 Virginica  6.4 2.8 5.6 2.2  
102 136 133 Virginica  6.3 2.8 5.1 1.5  
102 137 134 Virginica  6.1 2.6 5.6 1.4  
102 138 135 Virginica  7.7 3 6.1 2.3  
102 139 136 Virginica  6.3 3.4 5.6 2.4  
102 140 137 Virginica  6.4 3.1 5.5 1.8  
102 141 138 Virginica  6 3 4.8 1.8  
102 142 139 Virginica  6.9 3.1 5.4 2.1  
102 143 140 Virginica  6.7 3.1 5.6 2.4  
102 144 141 Virginica  6.9 3.1 5.1 2.3  
102 145 142 Virginica  5.8 2.7 5.1 1.9  
102 146 143 Virginica  6.8 3.2 5.9 2.3  
102 147 144 Virginica  6.7 3.3 5.7 2.5  
102 148 145 Virginica  6.7 3 5.2 2.3  
102 149 146 Virginica  6.3 2.5 5 1.9  
102 150 147 Virginica  6.5 3 5.2 2  
102 151 148 Virginica  6.2 3.4 5.4 2.3  
102 152 149 Virginica  5.9 3 5.1 1.8  

